DESCR,ID_NODE,ID_PARENT,ORD,ID_TREE,TAG,DESCR
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",543,540,2,10,SDV-0702-05,Close SDV - Lean Gas inlet valve to Degassing Boot V-0702
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",544,540,3,10,SOV-0702-06,Close SOV - Demulsifier to Degassing Boot V-0702
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",545,540,4,10,SDV-0802-01,Close SDV - Oil outlet valve from FST
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",546,540,5,10,SOV-0802-02,Close SOV - De-Waxing Agent to FST T-0802
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",547,540,6,10,SDV-3802-01,Close SDV - Motive Gas inlet Vapour Rec. Ejector J-3802-01/02
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",548,540,7,10,SDV-2420-02,Close SDV - Water outlet valve from FST T-0802
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",549,540,8,10,P-2423,Stop P-2423 - Water Transfer Pump
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",550,540,9,10,P-2424,Stop P-2424 - Water Transfer Pump
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",551,0,12,10,HS-0702-01A/B,ESD Push Button CCR/Field 
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",552,551,0,10,S-2011-01,Degassing Boot FST T-0802
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",553,552,0,10,SDV-0702-01,Close SDV - Oil inlet Valve to Degassing Boot V-0702
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",554,552,1,10,SDV-0702-03,Close SDV -Gas to GASCO LP Header
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",555,552,2,10,SDV-0702-05,Close SDV - Lean Gas inlet valve to Degassing Boot V-0702
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",556,552,3,10,SOV-0702-06,Close SOV - Demulsifier to Degassing Boot V-0702
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",557,552,4,10,SDV-0802-01,Close SDV - Oil outlet valve from FST
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",558,552,5,10,SOV-0802-02,Close SOV - De-Waxing Agent to FST T-0802
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",559,552,6,10,SDV-3802-01,Close SDV - Motive Gas inlet Vapour Rec. Ejector J-3802-01/02
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",560,552,7,10,SDV-2420-02,Close SDV - Water outlet valve from FST T-0802
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",561,552,8,10,P-2423,Stop P-2423 - Water Transfer Pump
